time/episodes,time/time_elapsed,time/total_timesteps,train/critic_loss,train/n_updates,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,rollout/ep_len_mean,time/fps
124,584,124000,10.962461471557617,123899,-311.2868114,125.42987060546875,1e-05,1000.0,41
128,676,128000,92.07183837890625,127899,-126.79226777999999,116.54871368408203,1e-05,1000.0,41
132,767,132000,11.577388763427734,131899,31.996543239999948,109.69859313964844,1e-05,1000.0,41
136,861,136000,29.22225570678711,135899,195.1737719699999,110.74708557128906,1e-05,1000.0,41
140,955,140000,45.24695587158203,139899,351.0969257499999,105.526123046875,1e-05,1000.0,41
144,1047,144000,27.88723373413086,143899,431.90483444999995,104.32395935058594,1e-05,1000.0,41
148,1141,148000,16.42529296875,147899,444.38059935000007,95.52078247070312,1e-05,1000.0,42
152,44,152000,18.161029815673828,151899,480.48423378000007,103.30392456054688,1e-05,1000.0,45
156,134,156000,21.520410537719727,155899,387.61420624000016,99.8157958984375,1e-05,1000.0,44
160,223,160000,125.53121948242188,159899,285.66971021000006,95.75531768798828,1e-05,1000.0,44
164,313,164000,11.833966255187988,163899,125.91138801999998,98.289794921875,1e-05,1000.0,44
168,402,168000,126.14784240722656,167899,-26.240091160000038,99.12716674804688,1e-05,1000.0,44
172,498,172000,73.27481079101562,171899,-158.71954419000005,99.95420837402344,1e-05,1000.0,44
176,598,176000,37.69776153564453,175899,-314.32820982,105.38805389404297,1e-05,1000.0,43
180,694,180000,29.491737365722656,179899,-475.70950688,100.53446960449219,1e-05,1000.0,43
184,791,184000,12.603742599487305,183899,-489.50420190999995,105.36588287353516,1e-05,1000.0,42
188,888,188000,37.79214859008789,187899,-428.50676505999996,105.07838439941406,1e-05,1000.0,42
192,984,192000,12.066774368286133,191899,-373.24451609999994,102.12449645996094,1e-05,1000.0,42
196,1080,196000,13.02640438079834,195899,-305.09379589,107.98304748535156,1e-05,1000.0,42
200,1178,200000,13.597528457641602,199899,-223.95340942999997,104.16665649414062,1e-05,1000.0,42
204,97,204000,33.751258850097656,203899,-140.52537469000004,99.0164794921875,1e-05,1000.0,40
208,199,208000,14.574894905090332,207899,-20.58889910000003,89.82281494140625,1e-05,1000.0,40
212,298,212000,282.2855224609375,211899,126.20392953999999,82.15985107421875,1e-05,1000.0,40
216,395,216000,32.84688186645508,215899,242.03901764,88.64016723632812,1e-05,1000.0,40
220,489,220000,28.478296279907227,219899,415.00341686,91.59806060791016,1e-05,1000.0,40
224,578,224000,13.335865020751953,223899,593.9205367300001,79.0799560546875,1e-05,1000.0,41
228,666,228000,13.392541885375977,227899,684.19931875,86.36085510253906,1e-05,1000.0,42
232,755,232000,16.672290802001953,231899,798.6379267999998,70.62342834472656,1e-05,1000.0,42
236,844,236000,16.540685653686523,235899,922.4440682000002,76.49410247802734,1e-05,1000.0,42
240,932,240000,14.530458450317383,239899,1030.5818249000001,66.29801940917969,1e-05,1000.0,42
244,1021,244000,23.110942840576172,243899,1168.08788195,74.81393432617188,1e-05,1000.0,43
248,1109,248000,122.48796844482422,247899,1374.1984080099999,65.41169738769531,1e-05,1000.0,43
252,43,252000,14.72983169555664,251899,1556.33981242,59.736961364746094,1e-05,1000.0,46
256,131,256000,13.925882339477539,255899,1770.0031447500003,59.35710906982422,1e-05,1000.0,45
260,219,260000,30.08383560180664,259899,1968.2563333499995,50.687652587890625,1e-05,1000.0,45
264,308,264000,12.456339836120605,263899,2156.15020845,39.380775451660156,1e-05,1000.0,45
268,396,268000,11.49030876159668,267899,2332.2697223200003,41.98011779785156,1e-05,1000.0,45
272,481,272000,82.49647521972656,271899,2527.6855216,39.689430236816406,1e-05,1000.0,45
276,566,276000,15.76483154296875,275899,2713.3199367899997,42.87852096557617,1e-05,1000.0,45
280,651,280000,11.777547836303711,279899,2901.22881944,41.701438903808594,1e-05,1000.0,46
284,736,284000,12.532795906066895,283899,2985.1869050399996,32.79970932006836,1e-05,1000.0,46
288,821,288000,11.76300048828125,287899,3009.1875099599997,35.066505432128906,1e-05,1000.0,46
292,907,292000,9.815208435058594,291899,3009.8786210800004,29.254188537597656,1e-05,1000.0,46
296,992,296000,26.199256896972656,295899,3009.4140977099996,25.750328063964844,1e-05,1000.0,46
300,1077,300000,150.47427368164062,299899,3008.6574308500003,24.14983367919922,1e-05,1000.0,46
304,84,304000,12.374273300170898,303899,3008.30398996,17.83637237548828,1e-05,1000.0,47
308,169,308000,11.78057861328125,307899,3007.79705358,21.725566864013672,1e-05,1000.0,47
312,253,312000,12.07633113861084,311899,3007.3153361500003,19.904735565185547,1e-05,1000.0,47
316,337,316000,16.842296600341797,315899,3006.71108947,14.291827201843262,1e-05,1000.0,47
320,422,320000,184.7096710205078,319899,3006.7223655200005,10.42595386505127,1e-05,1000.0,47
324,508,324000,11.260623931884766,323899,3007.0938447000012,13.659283638000488,1e-05,1000.0,47
328,592,328000,11.235431671142578,327899,3007.4075479399994,15.640751838684082,1e-05,1000.0,47
332,677,332000,10.6973237991333,331899,3007.68087943,6.2060394287109375,1e-05,1000.0,47
336,761,336000,12.340673446655273,335899,3008.035454250001,3.092111110687256,1e-05,1000.0,47
340,846,340000,11.676801681518555,339899,3008.00119212,10.973973274230957,1e-05,1000.0,47
344,931,344000,13.050106048583984,343899,3007.7650755899995,10.458429336547852,1e-05,1000.0,47
348,1016,348000,11.090750694274902,347899,3007.1055791699996,7.423328876495361,1e-05,1000.0,47
352,41,352000,16.291587829589844,351899,3006.12695321,9.654370307922363,1e-05,1000.0,48
356,125,356000,17.889572143554688,355899,3004.7238521500003,0.21453475952148438,1e-05,1000.0,47
360,210,360000,10.148213386535645,359899,3002.1914780599996,2.267939329147339,1e-05,1000.0,47
364,294,364000,12.716779708862305,363899,2995.83399764,2.7897720336914062,1e-05,1000.0,47
368,379,368000,10.79191780090332,367899,2969.71585234,2.1907365322113037,1e-05,1000.0,47
372,464,372000,32.2220458984375,371899,2960.2734075900003,4.7441205978393555,1e-05,1000.0,47
376,548,376000,9.683260917663574,375899,2957.0406509099994,-3.268620014190674,1e-05,1000.0,47
380,633,380000,12.170357704162598,379899,2954.5800431799994,-0.16328275203704834,1e-05,1000.0,47
384,718,384000,9.448042869567871,383899,2953.002644490001,-2.427009344100952,1e-05,1000.0,47
388,802,388000,45.92621612548828,387899,2951.61843771,-10.18285083770752,1e-05,1000.0,47
392,887,392000,13.477906227111816,391899,2950.197527939999,-8.331611633300781,1e-05,1000.0,47
396,972,396000,11.546063423156738,395899,2948.068386329999,-11.393404006958008,1e-05,1000.0,47
400,1056,400000,31.896841049194336,399899,2946.0693371199995,-2.5298657417297363,1e-05,1000.0,47
404,83,404000,12.303272247314453,403899,2944.5747220600006,-7.795712471008301,1e-05,1000.0,47
408,167,408000,92.92678833007812,407899,2942.930085340001,-15.226088523864746,1e-05,1000.0,47
412,251,412000,9.250432968139648,411899,2941.2808002700003,-6.944573879241943,1e-05,1000.0,47
416,335,416000,20.10586166381836,415899,2936.33908673,-10.443867683410645,1e-05,1000.0,47
420,419,420000,29.397945404052734,419899,2929.9685215299996,-8.091083526611328,1e-05,1000.0,47
424,503,424000,19.40640640258789,423899,2928.71558203,-14.425537109375,1e-05,1000.0,47
428,587,428000,37.47332000732422,427899,2927.3891882699995,-19.604633331298828,1e-05,1000.0,47
432,672,432000,14.207437515258789,431899,2926.493532329999,-20.890850067138672,1e-05,1000.0,47
436,755,436000,9.210156440734863,435899,2925.9365546700005,-24.578086853027344,1e-05,1000.0,47
440,839,440000,9.725414276123047,439899,2925.4119519200003,-14.791333198547363,1e-05,1000.0,47
444,923,444000,19.399028778076172,443899,2924.7475757800003,-22.213470458984375,1e-05,1000.0,47
448,1006,448000,32.01018524169922,447899,2924.250999730001,-17.14098358154297,1e-05,1000.0,47
452,41,452000,12.156024932861328,451899,2923.81644043,-19.443012237548828,1e-05,1000.0,47
456,126,456000,14.7568359375,455899,2923.6320396400006,-21.085636138916016,1e-05,1000.0,47
460,210,460000,10.993873596191406,459899,2924.5877696299995,-18.376380920410156,1e-05,1000.0,47
464,295,464000,31.258445739746094,463899,2929.2977061300003,-22.930889129638672,1e-05,1000.0,47
468,380,468000,39.5305290222168,467899,2953.7838196000002,-24.40790557861328,1e-05,1000.0,47
472,465,472000,10.31578540802002,471899,2961.88298907,-19.553470611572266,1e-05,1000.0,47
476,550,476000,10.0503568649292,475899,2963.64913082,-25.183414459228516,1e-05,1000.0,47
480,634,480000,106.44062805175781,479899,2964.6740184200003,-18.045034408569336,1e-05,1000.0,47
484,719,484000,10.836790084838867,483899,2964.85612662,-24.26873016357422,1e-05,1000.0,47
488,806,488000,25.70297622680664,487899,2964.094188659999,-27.132347106933594,1e-05,1000.0,47
492,895,492000,13.240274429321289,491899,2964.0884757,-29.17545509338379,1e-05,1000.0,46
496,984,496000,27.57403564453125,495899,2964.7128096600004,-24.967411041259766,1e-05,1000.0,46
500,1073,500000,16.660140991210938,499899,2964.9628932000005,-31.761089324951172,1e-05,1000.0,46
504,86,504000,27.38323974609375,503899,2965.05927652,-32.783023834228516,1e-05,1000.0,46
508,171,508000,29.374034881591797,507899,2965.3501366299997,-30.327293395996094,1e-05,1000.0,46
512,255,512000,10.427398681640625,511899,2965.59587045,-24.607818603515625,1e-05,1000.0,46
516,339,516000,8.477642059326172,515899,2969.2544624899997,-31.963062286376953,1e-05,1000.0,47
520,424,520000,26.596302032470703,519899,2973.8490249199995,-28.744773864746094,1e-05,1000.0,47
524,509,524000,8.458929061889648,523899,2973.6835939499997,-34.50471878051758,1e-05,1000.0,47
528,597,528000,8.375921249389648,527899,2973.95631471,-35.89252471923828,1e-05,1000.0,46
532,683,532000,32.15166473388672,531899,2974.12920804,-38.064361572265625,1e-05,1000.0,46
536,769,536000,8.391286849975586,535899,2974.0017355899995,-35.588111877441406,1e-05,1000.0,46
540,854,540000,30.729347229003906,539899,2973.96092453,-45.07892608642578,1e-05,1000.0,46
544,940,544000,38.6505126953125,543899,2973.92910577,-40.688350677490234,1e-05,1000.0,46
548,1025,548000,11.117173194885254,547899,2974.1995316800003,-46.91387176513672,1e-05,1000.0,46
552,40,552000,404.5440673828125,551899,2974.50704178,-40.96403503417969,1e-05,1000.0,49
556,122,556000,8.251004219055176,555899,2975.0336990000005,-44.70746994018555,1e-05,1000.0,48
560,205,560000,35.691593170166016,559899,2975.672098010001,-47.17538833618164,1e-05,1000.0,48
564,287,564000,8.393756866455078,563899,2976.57542289,-46.87331008911133,1e-05,1000.0,48
568,370,568000,66.47834014892578,567899,2977.64155835,-47.77864074707031,1e-05,1000.0,48
572,452,572000,8.735443115234375,571899,2978.6455708800004,-47.50121307373047,1e-05,1000.0,48
576,535,576000,33.600250244140625,575899,2979.7529187200003,-49.505332946777344,1e-05,1000.0,48
580,617,580000,6.838475227355957,579899,2980.7490573199993,-52.85926818847656,1e-05,1000.0,48
584,699,584000,8.337316513061523,583899,2981.7802781699993,-57.50238800048828,1e-05,1000.0,48
588,782,588000,41.297245025634766,587899,2983.6075022599994,-61.91542053222656,1e-05,1000.0,48
592,865,592000,44.79099655151367,591899,2984.87632512,-56.721405029296875,1e-05,1000.0,48
596,948,596000,40.70257568359375,595899,2986.2300177700004,-64.07504272460938,1e-05,1000.0,48
600,1030,600000,8.402961730957031,599899,2988.2200838000003,-60.89299011230469,1e-05,1000.0,48
